1451606400000,430.89,432.58,429.82,431.02,41.32097223
1451610000000,431.51,432.01,429.08,430.01,31.21223925
1451613600000,430.0,431.69,430.0,430.57,12.24623628
1451617200000,430.5,433.37,430.03,433.37,74.9842536
1451620800000,433.34,435.72,432.55,435.11,870.80343483
1451624400000,435.11,436.0,434.47,435.4,78.52697077
1451628000000,435.44,435.44,430.08,433.53,177.11493724
1451631600000,434.71,436.0,433.5,434.16,158.44554685
1451635200000,434.17,434.19,431.0,434.08,210.58852414
1451638800000,433.99,433.99,431.23,432.0,129.6824317
1451642400000,432.0,432.0,431.21,431.94,138.04564982
1451646000000,431.21,433.78,431.0,432.72,156.52785057
1451649600000,433.62,433.82,431.87,432.09,102.09956264
1451653200000,432.26,432.4,427.2,428.05,202.31909155
1451656800000,428.03,432.1,428.01,429.8,133.14973138
1451660400000,430.7,434.96,430.58,431.53,135.5975875
1451664000000,431.84,434.98,431.7,433.41,157.95386418
1451667600000,433.41,434.26,432.02,433.0,107.09603424
1451671200000,433.77,434.29,432.0,432.02,129.25704906
1451674800000,432.0,434.0,431.78,433.6,137.02702892
1451678400000,433.6,433.95,432.31,433.0,64.18063364
1451682000000,433.95,435.0,433.0,433.73,243.19029797
1451685600000,434.75,435.0,432.11,433.55,210.49223207
1451689200000,433.55,434.98,432.76,433.82,86.2490136
1451692800000,434.87,435.99,433.88,434.37,432.24701297
1451696400000,434.44,435.79,431.5,432.17,230.25515587
1451700000000,433.47,433.84,431.66,432.71,58.56610588
1451703600000,431.8,433.96,431.8,433.85,84.23562104
1451707200000,433.28,434.81,432.45,433.88,65.12382557
1451710800000,433.31,433.89,432.88,433.89,66.89636477
1451714400000,433.39,433.89,432.54,432.58,50.07113782
1451718000000,432.61,433.38,431.62,431.79,83.1107521
1451721600000,432.8,433.37,431.65,432.35,61.40105775
1451725200000,432.17,433.92,432.13,433.42,59.84642727
1451728800000,433.42,434.33,432.73,433.13,120.09179749
1451732400000,433.65,433.65,432.05,432.31,21.95556408
1451736000000,432.31,432.94,430.42,432.59,178.37720221
1451739600000,432.69,432.69,430.51,430.89,105.93083602
1451743200000,430.9,432.31,430.9,431.64,95.11960778
1451746800000,431.64,432.32,431.35,432.04,57.64649456
1451750400000,432.04,434.0,432.03,432.89,190.04652212
1451754000000,432.81,434.97,432.81,434.3,412.89812057
1451757600000,434.3,434.31,432.62,433.47,76.49421746
1451761200000,433.68,433.79,432.05,433.18,121.04928191
1451764800000,433.17,434.15,432.0,434.15,86.71776204
1451768400000,434.05,434.2,432.69,433.77,148.54743585
1451772000000,433.77,434.18,432.46,433.54,79.61027707
1451775600000,432.89,434.17,432.64,433.55,86.82486914
1451779200000,433.2,433.85,432.73,432.84,84.19828398
1451782800000,433.07,434.09,429.27,431.0,311.67637349
1451786400000,431.0,432.47,429.03,431.84,526.82445495
1451790000000,431.72,432.83,430.74,432.44,35.11307476
1451793600000,432.33,432.87,429.56,430.48,34.83850458
1451797200000,430.32,432.4,429.91,432.4,116.04912703
1451800800000,432.66,432.66,430.0,431.17,97.25065923
1451804400000,431.24,432.46,429.7,430.5,104.43805246
1451808000000,430.26,430.5,430.0,430.5,75.82148491
1451811600000,430.5,431.38,430.0,430.21,179.39294996
1451815200000,430.04,431.29,430.0,430.71,137.38092859
1451818800000,430.03,430.9,430.02,430.77,35.64928623
1451822400000,430.77,431.22,430.01,430.95,122.54082297
1451826000000,430.57,430.67,425.91,426.6,588.50000347
1451829600000,427.04,428.71,425.8,425.96,173.19978145
1451833200000,425.99,428.7,425.75,428.24,130.02479144
1451836800000,427.5,428.08,424.32,427.83,398.8233263
1451840400000,426.84,428.78,426.5,427.2,171.04016789
1451844000000,427.2,428.44,426.57,426.99,84.41441367
1451847600000,427.0,428.22,424.06,425.24,268.69564259
1451851200000,425.18,426.5,424.18,425.9,226.75248187
1451854800000,425.9,430.0,425.2,428.17,341.7153906
1451858400000,428.24,429.86,427.25,429.74,197.85514628
1451862000000,428.42,431.71,428.42,431.04,128.90188971
1451865600000,431.54,431.85,428.58,428.58,148.70074042
