address_id,address,exchange,source,retrievaldate,cluster_id
45472950,1BBujAGoFAUyJvrqggkCFReJ3ucGXiM8T4,UseCryptos.com,walletexplorer,2020-06-09,45472950
46848019,16jTAi7cB5uhi3En3Howq7XUdUM1mB2GH8,HitBtc.com-old,walletexplorer,2020-06-09,47978745
74938331,3KAuEYkuJQw1Ad2GzWjfC7V5XoL2fCqjGN,FoxBit.com.br-cold,walletexplorer,2020-06-09,74938331
217497611,1GturjXqM4hzM7HHp75wPdG4ezr1HtNpPt,BX.in.th,walletexplorer,2020-06-09,57176872
43497285,1My4F8YWojYiF7qbRgTiHfAkkjT8gGC1ne,C-Cex.com,walletexplorer,2020-06-09,85473543
46526637,1MeuNyTrU7f2nZZyd8gKu59HDsurKBLEvW,Hashnest.com,walletexplorer,2020-06-09,90504395
22419324,1927zCBQXa6nG4ZaTDNtaek4ubHpEbJGxP,SimpleCoin.cz-old,walletexplorer,2020-06-09,22419324
208008672,1Mkpy74Gczz8TNTjg8xjjaEugn7FD5QhUf,OKCoin.com,walletexplorer,2020-06-09,199187340
17960281,193JhFJVNzKjtnQgJgTG1h5hJdTtWtNfNT,BTC-e.com,walletexplorer,2020-06-09,276739156
16369978,1M3xjgBs6ELSKRxJ2tj4M41LoRgXrhSCjN,Bitfinex.com-old,walletexplorer,2020-06-09,21413640
86817979,1Gdgd9VGa4SpqLSmD14HBuNZ4UKMsqArZY,Paxful.com,walletexplorer,2020-06-09,115484288
25788042,17v65tNqxiHiWY8VK4t9YhGc2MmWvznAvL,LiteBit.eu,walletexplorer,2020-06-09,74767818
402374505,1HemKhiiRRhk6YVvUdcyJAWbHEwpGkUaYM,Vircurex.com ,walletexplorer,2020-06-09,21739580
37628303,15aogrctRuax3JKs7Z914iBUKtgK7F4EVA,BTC-e.com-old,walletexplorer,2020-06-09,15494894
459606789,3L676rAfFZ9JXRaEgFiwKuT6wgLkC23UWw,BitBay.net,walletexplorer,2020-06-09,293477351
30852655,14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,HappyCoins.com,walletexplorer,2020-06-09,52434720
69774472,18Wi7EMwnPmZeWHHHAhdJdTLEv23qhbcos,Banx.io-old2,walletexplorer,2020-06-09,55794695
12109867,1MSePgHRk7uQaV4T8Xb51YezoFH4VvJwCb,Bitcoin.de-old,walletexplorer,2020-06-09,351535272
322015254,1B79f7FHpvwxcpBGfaRnFeBkjtvfipj5vw,Coinmate.io,walletexplorer,2020-06-09,212788567
62576638,12RZE3EXnzjcydQkhHX3pLriLxSEH9xpM6,FoxBit.com.br,walletexplorer,2020-06-09,93882246
168574420,1CEXQdnhAoxYYWZRy7e3EBD46rnLba79KC,Bitcurex.com,walletexplorer,2020-06-09,83350495
48294231,1Bzcrtsy3FjrTmTbB8dsvBmGGCsadnXPFW,BitVC.com ,walletexplorer,2020-06-09,143509417
48366997,1FyiWKat8JTEw8N3AknsHyBEuj3CWSmvBe,Bitfinex.com-old2,walletexplorer,2020-06-09,38599680
60470898,1DDwrxz5MC98Pfrjp4PcQiErx7wz6FJnRJ,Bitso.com,walletexplorer,2020-06-09,55668011
49641005,17W4PZ2PS3KksDy5T6yE7FaJsgjmnYMXuP,UrduBit.com-cold,walletexplorer,2020-06-09,49641005
124664897,1EoZEvNDzc55AK3YYstwoYq2QyLQFuYLCG,MaiCoin.com,walletexplorer,2020-06-09,113820416
57728835,15AMqCNeruGvm4WccbhkwUvYQPJB8b8Xef,CoinChimp.com,walletexplorer,2020-06-09,59847833
9007522,13MZDNwKWCvyAW3Lqpp3A6q4gNXkB64sUp,BitBargain.co.uk,walletexplorer,2020-06-09,221190076
54105485,1KrnUjLNN6wmK9fB7En9kojuvJHB6sCVTJ,Bter.com-old3,walletexplorer,2020-06-09,62923511
76742051,1MudcrRWzrjUgn1ugzh2ve4gpCpS8vWyHL,Ccedk.com,walletexplorer,2020-06-09,55115344
92088119,1M5NczBKPQSyFP2DzouXGAHeqoAYDQv2WC,ExchangeMyCoins.com,walletexplorer,2020-06-09,95189565
454654823,12P7Rr6QGzaqDpPDgZBXLCLqpgJPfa9DpG,Vaultoro.com,walletexplorer,2020-06-09,274597896
19918956,1Ks5aLkREyVUba3QiS64ZL5PPdcgXDXhBp,Exchanging.ir,walletexplorer,2020-06-09,19918956
486060300,1J8jexLXezp737VqHMFkZFWtKt6P874QeA,Bittrex.com,walletexplorer,2020-06-09,45198656
82679714,1L6XizF33gXCosNkbX2g836VdsQTqtQoHV,BTCC.com-old2,walletexplorer,2020-06-09,50263696
140754013,14hQAwFGRCNEmtsEYizbiSyMrhyr5VsNiw,SimpleCoin.cz-old4,walletexplorer,2020-06-09,131727815
56123423,1MLgaxVMmhscDAN3Mjg1wPYNvSAG4mMDbf,Coinimal.com,walletexplorer,2020-06-09,56123423
90113707,1FaoUMnUHHy495jKNViLuPDoVPNK3uK3PG,CampBX.com,walletexplorer,2020-06-09,73092034
31229322,1HtjM4Gy1X3MgCNjkdk3tgTLzeZXwFAtcp,CoinArch.com,walletexplorer,2020-06-09,44388415
44135701,1AYGUWseLEbc3gvtuk6agYTbQJnSo3YP6z,Bter.com-old2,walletexplorer,2020-06-09,44773586
67381048,1GeZkor1GFPyFNVGmkMcc6bY1PUb5nBUca,QuadrigaCX.com,walletexplorer,2020-06-09,74653957
132026172,1EApiQihSg3DPVG8kmVCeq5kehLjXPm2Z1,MeXBT.com,walletexplorer,2020-06-09,126806120
26043004,1LLHYQsnQ7DGhFU4hPqgk8DfDwxvq3zxac,Coins-e.com,walletexplorer,2020-06-09,15283794
12664060,164Bqayn7fuGssWTqfRQ5NcuepJpGWV24V,Cryptonit.net-old,walletexplorer,2020-06-09,10057439
608939790,1PJwuXp112u4Fw7YyKwKoWhwKnuedfxJ2x,CoinSpot.com.au,walletexplorer,2020-06-09,830053075
524057982,1MYuNpfdhJa1kvE9RAs6KLW9iUzjxs3E7y,Bleutrade.com,walletexplorer,2020-06-09,347843428
30715126,1GqWeVySuv96nFybv27W7ULQ1rzDHeAi7a,1Coin.com,walletexplorer,2020-06-09,30639947
56464985,3EKBC9BWM6LaZTt2YZm2QWPo7euvfE69tP,FoxBit.com.br-cold-old ,walletexplorer,2020-06-09,56464985
72547220,19WpAEPtfxbzhndCSrwzXnUyMeSB6pdmWV,FoxBit.com.br-2,walletexplorer,2020-06-09,96465081
21832235,19hx1B4pTDsBAYJJYYrj1t6bcVw1e9omuH,Huobi.com,walletexplorer,2020-06-09,19180422
70740088,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P,Poloniex.com,walletexplorer,2020-06-09,338004169
39625754,1LBuYdxJsDBxkgdjH7kyuD8dkWu1EMZEgP,Indacoin.com,walletexplorer,2020-06-09,66883548
60512633,1GrCCd4mSvxLqKFzs8Pbny9qBqL65LFKJp,Korbit.co.kr,walletexplorer,2020-06-09,23346409
96095242,1MynxXAan9JWpwCXD5ZtY5UongLyRrimx9,Exmo.com,walletexplorer,2020-06-09,70643762
54385522,1Mb4JKCVaGkdF5NuxufwhFy2f8u1WUoVKc,Zyado.com,walletexplorer,2020-06-09,93182822
42554186,14EBC92evNCak2PqubXJshG5KPjnyajC3H,796.com,walletexplorer,2020-06-09,82049715
93625510,1FMvaN8SdDSsaDABVqETxeqf8BDD5gLrTu,Banx.io,walletexplorer,2020-06-09,91648993
383466124,3G7E5YVjPrtLiZvgm4AREhynzrhpAyrWiK,CoinHako.com,walletexplorer,2020-06-09,332183403
35010111,1KfHkg7FBidcMk6W4HDd9m3wxHaKUkzdLN,Banx.io-old,walletexplorer,2020-06-09,47010224
359168457,17z1pLZqm6J5aTtQaYBbxKeQfbBmiWBg6o,SpectroCoin.com,walletexplorer,2020-06-09,60440352
41016760,12CA6o2ykb91Dcjq18ukgjDMWit4L3wntC,Coinbroker.io,walletexplorer,2020-06-09,43236315
60806226,1H2QU8im5Ed1fkDuAUXwLDZnLF21NmUfFg,ChBtc.com ,walletexplorer,2020-06-09,279708204
